Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;157;0.500;2.500;-3.600;;19.872;1.120;-47.94;9.376;15.370;157.84;22.186;4.053;-78.12;9.066;
1;158;1.000;2.500;-3.600;;13.970;-3.870;-56.00;8.920;21.359;161.04;49.937;22.396;86.99;13.770;
1;159;1.500;2.500;-3.600;;12.890;-15.604;-72.20;14.247;16.332;127.79;40.984;10.226;-4.17;15.379;
1;160;2.000;2.500;-3.600;;17.620;-29.187;-83.96;23.403;4.471;-151.18;57.671;-2.103;-4.99;29.887;
1;161;2.500;2.500;-3.600;;19.725;-37.769;-84.43;28.747;19.607;-118.77;63.146;3.314;-9.31;29.916;
1;162;3.000;2.500;-3.600;;18.191;-36.017;-83.04;27.104;21.046;-106.29;63.691;12.968;-10.05;25.362;
1;163;3.500;2.500;-3.600;;16.702;-29.404;-87.37;23.053;9.653;128.45;70.695;15.923;-8.09;27.386;
1;164;4.000;2.500;-3.600;;15.170;-33.543;88.18;24.357;13.174;161.65;77.473;12.215;-6.34;32.629;
1;165;4.500;2.500;-3.600;;15.484;-43.723;85.60;29.603;18.995;-179.12;83.303;7.338;-4.01;37.982;
1;166;5.000;2.500;-3.600;;16.401;-57.538;85.76;36.970;21.942;-162.47;87.541;4.387;-2.31;41.577;
1;167;5.500;2.500;-3.600;;16.928;-70.248;87.41;43.588;21.063;-142.59;89.792;4.776;-0.80;42.508;
1;168;6.000;2.500;-3.600;;16.269;-74.833;89.58;45.551;18.598;-96.91;90.740;8.604;-0.36;41.068;
1;169;6.500;2.500;-3.600;;15.941;-67.887;89.95;41.914;6.610;-38.95;91.903;9.250;-1.28;41.326;
1;170;7.000;2.500;-3.600;;14.511;-63.634;89.54;39.072;3.750;-34.72;93.372;7.998;-1.25;42.687;
1;171;7.500;2.500;-3.600;;13.993;-62.629;88.54;38.311;2.648;-145.68;94.076;6.949;-0.57;43.564;
1;172;8.000;2.500;-3.600;;14.461;-66.209;87.76;40.335;7.771;-156.97;93.717;7.571;0.12;43.073;
1;173;8.500;2.500;-3.600;;15.666;-72.530;87.84;44.098;10.248;-145.67;92.531;8.630;0.32;41.951;
1;174;9.000;2.500;-3.600;;15.671;-80.278;88.59;47.974;20.139;-88.56;91.524;8.310;-0.24;41.607;
1;175;9.500;2.500;-3.600;;16.149;-76.060;-89.83;46.104;18.188;-38.75;90.752;4.909;0.21;42.922;
1;176;10.000;2.500;-3.600;;15.546;-65.265;-88.94;40.405;18.352;-20.87;88.860;4.378;1.41;42.241;
1;177;10.500;2.500;-3.600;;14.954;-54.390;-89.29;34.672;14.502;-7.75;85.260;6.762;2.57;39.249;
1;178;11.000;2.500;-3.600;;15.329;-47.811;89.10;31.570;7.881;1.88;80.505;10.883;3.76;34.811;
