Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;190;1.500;3.000;-3.600;;-10.416;9.979;-4.010;-25.997;1.701;60.517;15.415;-18.850;
1;191;2.000;3.000;-3.600;;-28.105;11.010;-2.314;-27.220;-12.978;72.676;0.848;-15.877;
1;192;2.500;3.000;-3.600;;-43.194;10.723;-5.509;-17.811;-33.899;77.633;-0.021;-12.532;
1;193;3.000;3.000;-3.600;;-36.607;11.870;-11.678;4.218;-43.931;76.694;16.667;-9.735;
1;194;3.500;3.000;-3.600;;-21.728;13.767;-3.610;-4.587;15.764;79.518;18.389;-14.666;
1;195;4.000;3.000;-3.600;;-27.974;12.084;2.558;-17.297;3.206;84.598;9.524;-12.923;
1;196;4.500;3.000;-3.600;;-40.957;11.519;7.033;-26.449;-3.401;89.064;5.081;-9.703;
1;197;5.000;3.000;-3.600;;-58.280;11.022;8.785;-31.135;-10.872;91.377;2.346;-6.325;
1;198;5.500;3.000;-3.600;;-76.359;10.568;5.975;-26.076;-28.965;92.735;1.936;-2.794;
1;199;6.000;3.000;-3.600;;-82.679;10.420;-1.549;0.489;-47.601;93.012;9.646;-0.774;
1;200;6.500;3.000;-3.600;;-67.651;11.724;-2.172;11.395;-5.366;94.975;10.251;-4.551;
1;201;7.000;3.000;-3.600;;-61.834;10.707;-0.607;5.503;-3.631;97.563;5.908;-3.449;
1;202;7.500;3.000;-3.600;;-60.773;10.464;2.112;-2.788;-3.853;99.143;4.833;-1.014;
1;203;8.000;3.000;-3.600;;-64.773;10.362;4.629;-10.853;-4.606;97.763;5.450;1.478;
1;204;8.500;3.000;-3.600;;-73.181;10.953;5.532;-15.492;-8.606;95.399;9.095;2.835;
1;205;9.000;3.000;-3.600;;-87.822;9.511;4.094;-1.742;-49.672;93.506;9.146;-0.004;
1;206;9.500;3.000;-3.600;;-81.112;10.123;-1.919;22.543;-24.708;93.229;2.488;1.588;
1;207;10.000;3.000;-3.600;;-66.092;10.585;-4.168;25.347;-10.063;92.000;2.471;4.669;
1;208;10.500;3.000;-3.600;;-52.606;11.143;-2.522;19.482;-4.483;89.627;4.744;7.543;
1;209;11.000;3.000;-3.600;;-44.132;11.855;1.014;9.514;0.084;84.683;8.671;9.895;
1;210;11.500;3.000;-3.600;;-42.938;14.007;5.262;-2.521;7.357;79.208;16.226;10.086;
1;211;12.000;3.000;-3.600;;-62.798;12.083;8.495;-2.572;-46.445;75.977;10.175;5.950;
1;212;12.500;3.000;-3.600;;-62.480;10.668;-4.108;31.629;-45.254;72.591;0.234;17.128;
1;213;13.000;3.000;-3.600;;-38.025;11.250;-10.270;43.282;-17.088;65.898;7.913;26.724;
1;214;13.500;3.000;-3.600;;-12.045;11.289;-10.359;40.067;-5.575;54.935;16.258;35.349;
1;215;14.000;3.000;-3.600;;9.617;11.166;-6.758;30.632;3.171;34.726;23.801;39.550;
1;216;14.500;3.000;-3.600;;22.988;13.274;-0.444;16.432;22.171;11.796;29.275;30.028;
1;217;15.000;3.000;-3.600;;26.576;16.800;5.634;-0.616;-27.762;-20.563;-39.127;-1.716;
1;218;0.000;3.500;-3.600;;32.053;14.336;-17.500;-18.216;-47.378;-6.250;-9.015;-50.890;
1;219;0.500;3.500;-3.600;;25.228;7.446;-11.539;-25.868;17.758;71.523;27.040;-65.690;
1;220;1.000;3.500;-3.600;;9.721;5.530;-4.911;-29.128;-1.887;103.481;18.059;-47.480;
1;221;1.500;3.500;-3.600;;-7.615;5.661;-0.935;-30.937;-4.483;96.033;8.458;-24.936;
