Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;71;4.000;1.000;-3.600;min;-0.027;-0.001;-0.004;-0.006;-0.001;-0.021;-0.005;-0.011;
1;72;4.500;1.000;-3.600;max;0.028;0.001;0.004;0.008;0.003;0.021;0.006;0.010;
1;72;4.500;1.000;-3.600;min;-0.028;-0.001;-0.004;-0.008;-0.003;-0.021;-0.006;-0.010;
1;73;5.000;1.000;-3.600;max;0.028;0.002;0.004;0.008;0.006;0.020;0.006;0.009;
1;73;5.000;1.000;-3.600;min;-0.028;-0.002;-0.004;-0.008;-0.006;-0.020;-0.006;-0.009;
1;74;5.500;1.000;-3.600;max;0.028;0.003;0.006;0.008;0.015;0.019;0.008;0.009;
1;74;5.500;1.000;-3.600;min;-0.028;-0.003;-0.006;-0.008;-0.015;-0.019;-0.008;-0.009;
1;75;6.000;1.000;-3.600;max;0.022;0.003;0.009;0.013;0.003;0.018;0.002;0.007;
1;75;6.000;1.000;-3.600;min;-0.022;-0.003;-0.009;-0.013;-0.003;-0.018;-0.002;-0.007;
1;76;6.500;1.000;-3.600;max;0.020;0.001;0.006;0.008;0.016;0.017;0.008;0.011;
1;76;6.500;1.000;-3.600;min;-0.020;-0.001;-0.006;-0.008;-0.016;-0.017;-0.008;-0.011;
1;77;7.000;1.000;-3.600;max;0.022;0.001;0.005;0.010;0.006;0.017;0.005;0.012;
1;77;7.000;1.000;-3.600;min;-0.022;-0.001;-0.005;-0.010;-0.006;-0.017;-0.005;-0.012;
1;78;7.500;1.000;-3.600;max;0.025;0.001;0.004;0.011;0.003;0.017;0.004;0.011;
1;78;7.500;1.000;-3.600;min;-0.025;-0.001;-0.004;-0.011;-0.003;-0.017;-0.004;-0.011;
1;79;8.000;1.000;-3.600;max;0.028;0.001;0.003;0.009;0.007;0.016;0.005;0.010;
1;79;8.000;1.000;-3.600;min;-0.028;-0.001;-0.003;-0.009;-0.007;-0.016;-0.005;-0.010;
1;80;8.500;1.000;-3.600;max;0.030;0.002;0.005;0.005;0.020;0.016;0.009;0.008;
1;80;8.500;1.000;-3.600;min;-0.030;-0.002;-0.005;-0.005;-0.020;-0.016;-0.009;-0.008;
