Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;57;12.500;0.500;-3.600;max;0.001;0.000;82.31;0.001;0.000;79.14;0.000;0.000;74.89;0.000;
1;57;12.500;0.500;-3.600;min;0.000;-0.001;-80.75;0.000;-0.001;-80.63;0.000;0.000;-74.89;0.000;
1;58;13.000;0.500;-3.600;max;0.001;0.000;85.83;0.001;0.000;83.49;0.000;0.000;79.39;0.000;
1;58;13.000;0.500;-3.600;min;0.000;-0.001;-84.40;0.000;-0.001;-85.33;0.000;0.000;-79.39;0.000;
1;59;13.500;0.500;-3.600;max;0.001;0.000;86.47;0.001;0.000;84.39;0.000;0.000;79.81;0.000;
1;59;13.500;0.500;-3.600;min;0.000;-0.001;-85.11;0.000;-0.001;-86.10;0.000;0.000;-79.81;0.000;
1;60;14.000;0.500;-3.600;max;0.001;0.000;85.82;0.001;0.000;83.61;0.000;0.000;73.51;0.000;
1;60;14.000;0.500;-3.600;min;0.000;-0.001;-84.28;0.000;-0.001;-85.47;0.000;0.000;-73.51;0.000;
1;61;14.500;0.500;-3.600;max;0.001;0.000;82.34;0.001;0.000;79.61;0.000;0.000;66.04;0.000;
1;61;14.500;0.500;-3.600;min;0.000;-0.001;-80.91;0.000;-0.001;-81.42;0.000;0.000;-66.04;0.000;
1;62;15.000;0.500;-3.600;max;0.001;0.000;73.12;0.001;0.000;70.15;0.000;0.000;51.84;0.000;
1;62;15.000;0.500;-3.600;min;0.000;-0.001;-72.73;0.000;-0.001;-70.29;0.000;0.000;-51.84;0.000;
1;63;0.000;1.000;-3.600;max;0.000;0.000;54.21;0.000;0.000;53.32;0.000;0.000;74.49;0.000;
1;63;0.000;1.000;-3.600;min;0.000;0.000;-50.93;0.000;0.000;-54.87;0.000;0.000;-74.49;0.000;
1;64;0.500;1.000;-3.600;max;0.001;0.000;53.92;0.001;0.000;51.74;0.000;0.000;66.80;0.000;
1;64;0.500;1.000;-3.600;min;0.000;-0.001;-48.94;0.000;-0.001;-54.55;0.000;0.000;-66.80;0.000;
1;65;1.000;1.000;-3.600;max;0.000;0.000;62.11;0.000;0.000;56.75;0.000;0.000;64.36;0.000;
1;65;1.000;1.000;-3.600;min;0.000;0.000;-55.71;0.000;0.000;-59.19;0.000;0.000;-64.36;0.000;
1;66;1.500;1.000;-3.600;max;0.001;0.000;75.06;0.001;0.000;71.54;0.000;0.000;61.43;0.000;
1;66;1.500;1.000;-3.600;min;0.000;-0.001;-72.18;0.000;-0.001;-74.59;0.000;0.000;-61.43;0.000;
1;67;2.000;1.000;-3.600;max;0.001;0.000;71.34;0.001;0.000;65.75;0.000;0.000;74.07;0.000;
1;67;2.000;1.000;-3.600;min;0.000;-0.001;-64.69;0.000;-0.001;-68.57;0.000;0.000;-74.07;0.000;
1;68;2.500;1.000;-3.600;max;0.001;0.000;78.01;0.001;0.000;71.68;0.000;0.000;65.92;0.000;
1;68;2.500;1.000;-3.600;min;0.000;-0.001;-74.86;0.000;-0.001;-75.92;0.000;0.000;-65.92;0.000;
1;69;3.000;1.000;-3.600;max;0.001;0.000;84.81;0.001;0.000;82.76;0.000;0.000;66.75;0.000;
1;69;3.000;1.000;-3.600;min;0.000;-0.001;-83.96;0.000;-0.001;-83.95;0.000;0.000;-66.75;0.000;
1;70;3.500;1.000;-3.600;max;0.001;0.000;85.30;0.001;0.000;84.12;0.000;0.000;68.78;0.000;
1;70;3.500;1.000;-3.600;min;0.000;-0.001;-84.65;0.000;-0.001;-84.89;0.000;0.000;-68.78;0.000;
1;71;4.000;1.000;-3.600;max;0.001;0.000;84.12;0.001;0.000;82.80;0.000;0.000;70.12;0.000;
1;71;4.000;1.000;-3.600;min;0.000;-0.001;-83.36;0.000;-0.001;-83.68;0.000;0.000;-70.12;0.000;
1;72;4.500;1.000;-3.600;max;0.001;0.000;83.93;0.001;0.000;82.40;0.000;0.000;72.21;0.000;
1;72;4.500;1.000;-3.600;min;0.000;-0.001;-83.17;0.000;-0.001;-83.32;0.000;0.000;-72.21;0.000;
1;73;5.000;1.000;-3.600;max;0.001;0.000;83.75;0.001;0.000;82.02;0.000;0.000;72.48;0.000;
1;73;5.000;1.000;-3.600;min;0.000;-0.001;-83.03;0.000;-0.001;-82.95;0.000;0.000;-72.48;0.000;
1;74;5.500;1.000;-3.600;max;0.001;0.000;81.08;0.001;0.000;78.75;0.000;0.000;73.27;0.000;
1;74;5.500;1.000;-3.600;min;0.000;-0.001;-80.17;0.000;-0.001;-79.43;0.000;0.000;-73.27;0.000;
1;75;6.000;1.000;-3.600;max;0.001;0.000;73.92;0.001;0.000;72.12;0.000;0.000;72.07;0.000;
1;75;6.000;1.000;-3.600;min;0.000;-0.001;-72.25;0.000;-0.001;-72.25;0.000;0.000;-72.07;0.000;
