Section No.;Member;Node;Location;;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];Flags;;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
2;31;;3.1111111111111116;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;3.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;3.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;;3.5555555555555562;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;31;29;4.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;33;14;0.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;33;;0.4444444444444444;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;33;;0.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;33;;0.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;33;;0.8888888888888888;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;33;;1.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;33;;1.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
