Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;199;6.000;3.000;-3.600;;-1.798;0.269;2.170;-0.231;-0.039;0.036;0.001;-0.143;
1;200;6.500;3.000;-3.600;;-1.434;0.302;1.814;-0.261;-0.061;0.043;0.034;-0.016;
1;201;7.000;3.000;-3.600;;-1.289;0.269;1.679;-0.245;-0.021;0.008;0.017;-0.011;
1;202;7.500;3.000;-3.600;;-1.260;0.261;1.657;-0.241;0.049;-0.053;-0.008;-0.012;
1;203;8.000;3.000;-3.600;;-1.359;0.260;1.750;-0.238;0.114;-0.108;-0.033;-0.014;
1;204;8.500;3.000;-3.600;;-1.566;0.281;1.947;-0.245;0.138;-0.127;-0.046;-0.026;
1;205;9.000;3.000;-3.600;;-1.921;0.247;2.295;-0.210;0.098;-0.098;-0.005;-0.149;
1;206;9.500;3.000;-3.600;;-1.760;0.248;2.133;-0.238;-0.043;0.049;0.068;-0.074;
1;207;10.000;3.000;-3.600;;-1.402;0.259;1.770;-0.249;-0.091;0.109;0.076;-0.030;
1;208;10.500;3.000;-3.600;;-1.083;0.277;1.442;-0.258;-0.045;0.076;0.058;-0.013;
1;209;11.000;3.000;-3.600;;-0.890;0.302;1.229;-0.267;0.044;-0.005;0.029;0.000;
1;210;11.500;3.000;-3.600;;-0.872;0.369;1.189;-0.304;0.146;-0.106;-0.008;0.022;
1;211;12.000;3.000;-3.600;;-1.355;0.310;1.659;-0.270;0.216;-0.192;-0.008;-0.139;
1;212;12.500;3.000;-3.600;;-1.354;0.257;1.645;-0.256;-0.064;0.133;0.095;-0.136;
1;213;13.000;3.000;-3.600;;-0.781;0.286;1.044;-0.254;-0.193;0.300;0.130;-0.051;
1;214;13.500;3.000;-3.600;;-0.179;0.303;0.399;-0.238;-0.178;0.319;0.120;-0.017;
1;215;14.000;3.000;-3.600;;0.300;0.316;-0.161;-0.220;-0.083;0.241;0.092;0.010;
1;216;14.500;3.000;-3.600;;0.575;0.377;-0.528;-0.260;0.049;0.071;0.049;0.067;
1;217;15.000;3.000;-3.600;;0.597;0.325;-0.679;-0.481;0.132;-0.139;-0.002;-0.083;
1;218;0.000;3.500;-3.600;;0.757;0.326;-0.782;-0.362;-0.522;0.318;-0.055;-0.142;
1;219;0.500;3.500;-3.600;;0.749;0.233;-0.462;-0.125;-0.408;0.146;-0.078;0.053;
1;220;1.000;3.500;-3.600;;0.440;0.169;-0.026;-0.097;-0.213;0.023;-0.087;-0.006;
1;221;1.500;3.500;-3.600;;0.009;0.153;0.375;-0.119;-0.072;-0.027;-0.093;-0.013;
1;222;2.000;3.500;-3.600;;-0.499;0.124;0.852;-0.119;-0.029;-0.043;-0.132;-0.021;
1;223;2.500;3.500;-3.600;;-1.186;0.032;1.537;-0.041;-0.097;0.032;-0.155;-0.113;
1;224;3.000;3.500;-3.600;;-0.822;0.053;1.176;0.033;-0.559;0.493;-0.065;-0.235;
1;225;3.500;3.500;-3.600;;0.017;0.248;0.364;-0.203;-0.125;0.040;-0.049;0.095;
