Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;232;7.000;3.500;-3.600;;-56.486;-0.707;0.820;-4.208;1.925;82.262;2.769;-4.564;
1;233;7.500;3.500;-3.600;;-58.635;-0.659;1.314;-2.252;1.493;81.405;1.951;-0.566;
1;234;8.000;3.500;-3.600;;-59.652;-0.978;1.521;-1.223;1.683;81.615;2.539;3.211;
1;235;8.500;3.500;-3.600;;-59.843;-1.864;1.872;-6.437;12.683;77.700;4.733;6.181;
1;236;9.000;3.500;-3.600;;-72.761;-6.714;5.550;5.725;-33.274;72.853;10.046;4.103;
1;237;9.500;3.500;-3.600;;-73.531;-3.705;-0.198;24.533;-5.913;71.294;0.224;3.493;
1;238;10.000;3.500;-3.600;;-61.925;-1.153;-2.248;19.696;0.229;70.472;0.788;4.705;
1;239;10.500;3.500;-3.600;;-51.488;-0.348;-2.968;17.591;1.044;72.771;1.863;6.647;
1;240;11.000;3.500;-3.600;;-40.179;0.197;-1.575;21.978;2.332;76.222;4.237;11.991;
1;241;11.500;3.500;-3.600;;-25.781;1.750;1.616;18.208;31.025;68.786;9.207;16.761;
1;242;12.000;3.500;-3.600;;-53.712;-4.105;16.911;22.575;-30.010;59.460;9.200;15.090;
1;243;12.500;3.500;-3.600;;-67.035;-4.847;-2.463;45.765;-30.192;55.080;-3.083;19.383;
1;244;13.000;3.500;-3.600;;-41.059;-0.259;-7.600;41.517;-2.255;53.782;1.696;21.993;
1;245;13.500;3.500;-3.600;;-17.759;0.417;-10.130;34.842;0.372;64.438;5.758;27.216;
