Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,Max;4.075;4.075;2.246;0.947;
1;153;14.000;2.000;-3.600;σ_eqv,Tresca,Max;0.109;0.043;0.109;0.036;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,+;4.075;4.075;2.246;0.947;
1;153;14.000;2.000;-3.600;σ_eqv,Tresca,+;0.109;0.043;0.109;0.036;
1;7;3.000;0.000;-3.600;σ_eqv,Tresca,-;3.000;3.000;2.559;0.262;
1;189;1.000;3.000;-3.600;σ_eqv,Tresca,-;0.255;0.255;0.095;0.092;
1;1;0.000;0.000;-3.600;σ_eqv,Tresca,m;4.075;4.075;2.246;0.947;
1;154;14.500;2.000;-3.600;σ_eqv,Tresca,m;0.258;0.251;0.258;0.005;
;;;;;;;;;;
Total;;;;;;4.075;4.075;2.559;0.947;
max/min;;;;;;0.109;0.043;0.095;0.005;
