Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;145;10.000;2.000;-3.600;;0.419;0.338;2.12;-0.343;-0.460;-88.47;-0.002;-0.020;-89.80;0.000;
1;146;10.500;2.000;-3.600;;0.405;0.334;2.30;-0.341;-0.443;-88.33;-0.003;-0.019;-89.76;0.007;
1;147;11.000;2.000;-3.600;;0.355;0.334;7.28;-0.343;-0.389;-86.57;-0.005;-0.017;-89.74;0.013;
1;148;11.500;2.000;-3.600;;0.333;0.286;87.23;-0.316;-0.343;-5.08;-0.005;-0.015;-89.84;0.016;
1;149;12.000;2.000;-3.600;;0.321;0.246;87.95;-0.274;-0.328;-2.95;-0.004;-0.014;-89.99;0.012;
1;150;12.500;2.000;-3.600;;0.325;0.289;86.30;-0.314;-0.328;-9.20;-0.002;-0.013;89.87;0.000;
1;151;13.000;2.000;-3.600;;0.311;0.286;87.36;-0.306;-0.314;-8.55;-0.001;-0.010;89.86;0.008;
1;152;13.500;2.000;-3.600;;0.308;0.228;88.76;-0.242;-0.314;-1.35;-0.003;-0.007;89.66;0.017;
1;153;14.000;2.000;-3.600;;0.310;0.130;89.55;-0.137;-0.317;-0.42;-0.003;-0.004;13.37;0.022;
1;154;14.500;2.000;-3.600;;0.305;0.025;89.78;-0.027;-0.308;-0.19;-0.001;-0.001;5.85;0.024;
1;155;15.000;2.000;-3.600;;0.278;-0.051;89.86;0.054;-0.268;-0.12;0.005;0.001;88.93;0.023;
1;156;0.000;2.500;-3.600;;0.248;-0.118;82.04;0.121;-0.240;-8.06;0.004;0.001;89.32;0.035;
1;157;0.500;2.500;-3.600;;0.268;-0.058;85.16;0.054;-0.275;-4.20;-0.001;-0.005;32.84;0.029;
1;158;1.000;2.500;-3.600;;0.229;0.068;83.76;-0.080;-0.241;-4.78;-0.004;-0.008;38.93;0.015;
