Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;120;13.000;1.500;-3.600;min;0.00;0.00;-70.68;0.00;0.00;-76.74;
1;121;13.500;1.500;-3.600;max;0.00;0.00;84.44;0.00;0.00;84.41;
1;121;13.500;1.500;-3.600;min;0.00;0.00;-84.71;0.00;0.00;-82.14;
1;122;14.000;1.500;-3.600;max;0.00;0.00;83.23;0.00;0.00;84.68;
1;122;14.000;1.500;-3.600;min;0.00;0.00;-40.96;0.00;0.00;-35.40;
1;123;14.500;1.500;-3.600;max;0.00;0.00;78.86;0.00;0.00;78.15;
1;123;14.500;1.500;-3.600;min;0.00;0.00;-27.64;0.00;0.00;-22.54;
1;124;15.000;1.500;-3.600;max;0.00;0.00;65.70;0.00;0.00;68.39;
1;124;15.000;1.500;-3.600;min;0.00;0.00;-44.96;0.00;0.00;-36.76;
1;125;0.000;2.000;-3.600;max;0.00;0.00;51.12;0.00;0.00;45.44;
1;125;0.000;2.000;-3.600;min;0.00;0.00;-54.19;0.00;0.00;-55.87;
1;126;0.500;2.000;-3.600;max;0.00;0.00;42.05;0.00;0.00;40.68;
1;126;0.500;2.000;-3.600;min;0.00;0.00;-49.25;0.00;0.00;-50.41;
1;127;1.000;2.000;-3.600;max;0.00;0.00;36.96;0.00;0.00;41.04;
1;127;1.000;2.000;-3.600;min;0.00;0.00;-55.94;0.00;0.00;-51.11;
1;128;1.500;2.000;-3.600;max;0.00;0.00;23.78;0.00;0.00;24.39;
1;128;1.500;2.000;-3.600;min;0.00;0.00;-73.23;0.00;0.00;-70.94;
1;129;2.000;2.000;-3.600;max;0.00;0.00;89.89;0.00;0.00;78.61;
1;129;2.000;2.000;-3.600;min;0.00;0.00;-89.82;0.00;0.00;-81.48;
1;130;2.500;2.000;-3.600;max;0.00;0.00;74.00;0.00;0.00;87.37;
1;130;2.500;2.000;-3.600;min;0.00;0.00;-81.81;0.00;0.00;-73.00;
1;131;3.000;2.000;-3.600;max;0.00;0.00;52.22;0.00;0.00;53.44;
1;131;3.000;2.000;-3.600;min;0.00;0.00;-88.08;0.00;0.00;-82.57;
1;132;3.500;2.000;-3.600;max;0.00;0.00;89.79;0.00;0.00;16.01;
1;132;3.500;2.000;-3.600;min;0.00;0.00;-89.15;0.00;0.00;-88.37;
1;133;4.000;2.000;-3.600;max;0.00;0.00;89.20;0.00;0.00;11.52;
1;133;4.000;2.000;-3.600;min;0.00;0.00;-88.28;0.00;0.00;-89.09;
1;134;4.500;2.000;-3.600;max;0.00;0.00;86.88;0.00;0.00;44.11;
1;134;4.500;2.000;-3.600;min;0.00;0.00;-88.95;0.00;0.00;-88.10;
1;135;5.000;2.000;-3.600;max;0.00;0.00;86.44;0.00;0.00;88.88;
1;135;5.000;2.000;-3.600;min;0.00;0.00;-82.08;0.00;0.00;-87.77;
1;136;5.500;2.000;-3.600;max;0.00;0.00;77.90;0.00;0.00;83.63;
1;136;5.500;2.000;-3.600;min;0.00;0.00;-78.77;0.00;0.00;-79.17;
1;137;6.000;2.000;-3.600;max;0.00;0.00;77.09;0.00;0.00;82.54;
1;137;6.000;2.000;-3.600;min;0.00;0.00;-83.91;0.00;0.00;-83.84;
1;138;6.500;2.000;-3.600;max;0.00;0.00;79.88;0.00;0.00;84.08;
1;138;6.500;2.000;-3.600;min;0.00;0.00;-38.66;0.00;0.00;-42.45;
1;139;7.000;2.000;-3.600;max;0.00;0.00;82.98;0.00;0.00;88.43;
1;139;7.000;2.000;-3.600;min;0.00;0.00;-20.91;0.00;0.00;-22.23;
1;140;7.500;2.000;-3.600;max;0.00;0.00;86.22;0.00;0.00;87.63;
1;140;7.500;2.000;-3.600;min;0.00;0.00;-10.61;0.00;0.00;-82.62;
1;141;8.000;2.000;-3.600;max;0.00;0.00;88.75;0.00;0.00;89.09;
1;141;8.000;2.000;-3.600;min;0.00;0.00;-85.94;0.00;0.00;-87.87;
