Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;161;2.500;2.500;-3.600;min;0.000;0.000;0.000;0.000;
1;162;3.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;162;3.000;2.500;-3.600;min;0.001;0.000;0.000;0.000;
1;163;3.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;163;3.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;164;4.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;164;4.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;165;4.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;165;4.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;166;5.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;166;5.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;167;5.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;167;5.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;168;6.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;168;6.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;169;6.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;169;6.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;170;7.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;170;7.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;171;7.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;171;7.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;172;8.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;172;8.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;173;8.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;173;8.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;174;9.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;174;9.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;175;9.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;175;9.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;176;10.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;176;10.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;177;10.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;177;10.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;178;11.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;178;11.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;179;11.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;179;11.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;180;12.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;180;12.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;181;12.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;181;12.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;182;13.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;182;13.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;183;13.500;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;183;13.500;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;184;14.000;2.500;-3.600;max;0.001;0.001;0.001;0.000;
1;184;14.000;2.500;-3.600;min;0.001;0.001;0.001;0.000;
1;185;14.500;2.500;-3.600;max;0.000;0.000;0.000;0.000;
1;185;14.500;2.500;-3.600;min;0.000;0.000;0.000;0.000;
1;186;15.000;2.500;-3.600;max;0.000;0.000;0.000;0.000;
1;186;15.000;2.500;-3.600;min;0.000;0.000;0.000;0.000;
