Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Total Strains - Rankine [‰];;;
;Point No.;X;Y;Z;;ε_eqv,Rankine,+;ε_eqv,Rankine,-;ε_eqv,Rankine;Surface Comment
1;144;9.500;2.000;-3.600;min;0.00;0.00;0.00;
1;145;10.000;2.000;-3.600;max;0.00;0.00;0.00;
1;145;10.000;2.000;-3.600;min;0.00;0.00;0.00;
1;146;10.500;2.000;-3.600;max;0.00;0.00;0.00;
1;146;10.500;2.000;-3.600;min;0.00;0.00;0.00;
1;147;11.000;2.000;-3.600;max;0.00;0.00;0.00;
1;147;11.000;2.000;-3.600;min;0.00;0.00;0.00;
1;148;11.500;2.000;-3.600;max;0.00;0.00;0.00;
1;148;11.500;2.000;-3.600;min;0.00;0.00;0.00;
1;149;12.000;2.000;-3.600;max;0.00;0.00;0.00;
1;149;12.000;2.000;-3.600;min;0.00;0.00;0.00;
1;150;12.500;2.000;-3.600;max;0.00;0.00;0.00;
1;150;12.500;2.000;-3.600;min;0.00;0.00;0.00;
1;151;13.000;2.000;-3.600;max;0.00;0.00;0.00;
1;151;13.000;2.000;-3.600;min;0.00;0.00;0.00;
1;152;13.500;2.000;-3.600;max;0.00;0.00;0.00;
1;152;13.500;2.000;-3.600;min;0.00;0.00;0.00;
1;153;14.000;2.000;-3.600;max;0.00;0.00;0.00;
1;153;14.000;2.000;-3.600;min;0.00;0.00;0.00;
1;154;14.500;2.000;-3.600;max;0.00;0.00;0.00;
1;154;14.500;2.000;-3.600;min;0.00;0.00;0.00;
1;155;15.000;2.000;-3.600;max;0.00;0.00;0.00;
1;155;15.000;2.000;-3.600;min;0.00;0.00;0.00;
1;156;0.000;2.500;-3.600;max;0.00;0.00;0.00;
1;156;0.000;2.500;-3.600;min;0.00;0.00;0.00;
1;157;0.500;2.500;-3.600;max;0.00;0.00;0.00;
1;157;0.500;2.500;-3.600;min;0.00;0.00;0.00;
1;158;1.000;2.500;-3.600;max;0.00;0.00;0.00;
1;158;1.000;2.500;-3.600;min;0.00;0.00;0.00;
1;159;1.500;2.500;-3.600;max;0.00;0.00;0.00;
1;159;1.500;2.500;-3.600;min;0.00;0.00;0.00;
1;160;2.000;2.500;-3.600;max;0.00;0.00;0.00;
1;160;2.000;2.500;-3.600;min;0.00;0.00;0.00;
1;161;2.500;2.500;-3.600;max;0.00;0.00;0.00;
1;161;2.500;2.500;-3.600;min;0.00;0.00;0.00;
1;162;3.000;2.500;-3.600;max;0.00;0.00;0.00;
1;162;3.000;2.500;-3.600;min;0.00;0.00;0.00;
1;163;3.500;2.500;-3.600;max;0.00;0.00;0.00;
1;163;3.500;2.500;-3.600;min;0.00;0.00;0.00;
1;164;4.000;2.500;-3.600;max;0.00;0.00;0.00;
1;164;4.000;2.500;-3.600;min;0.00;0.00;0.00;
1;165;4.500;2.500;-3.600;max;0.00;0.00;0.00;
1;165;4.500;2.500;-3.600;min;0.00;0.00;0.00;
1;166;5.000;2.500;-3.600;max;0.00;0.00;0.00;
1;166;5.000;2.500;-3.600;min;0.00;0.00;0.00;
1;167;5.500;2.500;-3.600;max;0.00;0.00;0.00;
1;167;5.500;2.500;-3.600;min;0.00;0.00;0.00;
1;168;6.000;2.500;-3.600;max;0.00;0.00;0.00;
1;168;6.000;2.500;-3.600;min;0.00;0.00;0.00;
1;169;6.500;2.500;-3.600;max;0.00;0.00;0.00;
1;169;6.500;2.500;-3.600;min;0.00;0.00;0.00;
1;170;7.000;2.500;-3.600;max;0.00;0.00;0.00;
1;170;7.000;2.500;-3.600;min;0.00;0.00;0.00;
1;171;7.500;2.500;-3.600;max;0.00;0.00;0.00;
1;171;7.500;2.500;-3.600;min;0.00;0.00;0.00;
1;172;8.000;2.500;-3.600;max;0.00;0.00;0.00;
1;172;8.000;2.500;-3.600;min;0.00;0.00;0.00;
1;173;8.500;2.500;-3.600;max;0.00;0.00;0.00;
1;173;8.500;2.500;-3.600;min;0.00;0.00;0.00;
1;174;9.000;2.500;-3.600;max;0.00;0.00;0.00;
1;174;9.000;2.500;-3.600;min;0.00;0.00;0.00;
1;175;9.500;2.500;-3.600;max;0.00;0.00;0.00;
1;175;9.500;2.500;-3.600;min;0.00;0.00;0.00;
1;176;10.000;2.500;-3.600;max;0.00;0.00;0.00;
