Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;239;10.500;3.500;-3.600;;0.01;0.00;2.72;0.00;-0.02;-86.57;
1;240;11.000;3.500;-3.600;;0.01;0.00;12.33;0.00;-0.01;-77.32;
1;241;11.500;3.500;-3.600;;0.00;0.00;42.10;0.00;-0.01;-53.65;
1;242;12.000;3.500;-3.600;;0.01;0.00;-59.46;0.00;-0.01;33.35;
1;243;12.500;3.500;-3.600;;0.01;0.00;-16.90;0.00;-0.01;77.34;
1;244;13.000;3.500;-3.600;;0.01;0.00;-4.47;0.00;-0.01;88.90;
1;245;13.500;3.500;-3.600;;0.01;0.00;11.15;0.00;-0.01;-76.54;
1;246;14.000;3.500;-3.600;;0.01;0.00;49.78;0.00;-0.01;-45.80;
1;247;14.500;3.500;-3.600;;0.00;-0.01;84.61;0.01;0.00;-10.47;
1;248;15.000;3.500;-3.600;;0.00;-0.02;-75.43;0.02;0.00;12.80;
1;249;0.000;4.000;-3.600;;0.00;-0.05;74.10;0.05;0.00;-15.23;
1;250;0.500;4.000;-3.600;;0.00;-0.02;-88.13;0.02;0.00;3.92;
1;251;1.000;4.000;-3.600;;0.00;0.00;-46.60;0.00;0.00;52.83;
1;252;1.500;4.000;-3.600;;0.01;0.00;-9.08;0.00;-0.01;81.72;
1;253;2.000;4.000;-3.600;;0.01;0.00;0.65;0.00;-0.01;-89.37;
1;254;2.500;4.000;-3.600;;0.02;0.00;8.80;0.00;-0.02;-82.06;
1;255;3.000;4.000;-3.600;;0.01;-0.02;48.77;0.02;-0.01;-40.95;
1;256;3.500;4.000;-3.600;;0.00;-0.01;-74.37;0.00;0.00;25.40;
1;257;4.000;4.000;-3.600;;0.01;0.00;-12.03;0.00;-0.01;79.72;
1;258;4.500;4.000;-3.600;;0.02;0.00;-2.71;0.00;-0.02;87.53;
1;259;5.000;4.000;-3.600;;0.02;0.00;2.85;0.00;-0.02;-87.36;
1;260;5.500;4.000;-3.600;;0.02;0.00;10.51;0.00;-0.02;-80.39;
1;261;6.000;4.000;-3.600;;0.00;-0.01;52.11;0.01;0.00;-38.30;
1;262;6.500;4.000;-3.600;;0.01;0.00;-25.08;0.00;-0.01;70.16;
1;263;7.000;4.000;-3.600;;0.02;0.00;-5.62;0.00;-0.02;85.00;
1;264;7.500;4.000;-3.600;;0.02;0.00;-0.09;0.00;-0.02;89.91;
1;265;8.000;4.000;-3.600;;0.02;0.00;5.17;0.00;-0.02;-85.37;
1;266;8.500;4.000;-3.600;;0.01;0.00;18.20;0.00;-0.01;-74.59;
1;267;9.000;4.000;-3.600;;0.00;-0.01;-65.71;0.01;0.00;26.51;
1;268;9.500;4.000;-3.600;;0.01;0.00;-11.76;0.00;-0.01;79.41;
1;269;10.000;4.000;-3.600;;0.02;0.00;-3.06;0.00;-0.02;87.17;
1;270;10.500;4.000;-3.600;;0.02;0.00;2.28;0.00;-0.02;-87.92;
1;271;11.000;4.000;-3.600;;0.01;0.00;9.77;0.00;-0.01;-81.53;
1;272;11.500;4.000;-3.600;;0.00;0.00;60.51;0.00;0.00;-45.08;
1;273;12.000;4.000;-3.600;;0.00;-0.02;-49.70;0.02;0.00;39.65;
1;274;12.500;4.000;-3.600;;0.01;0.00;-9.27;0.00;-0.01;81.69;
1;275;13.000;4.000;-3.600;;0.01;0.00;-0.90;0.00;-0.01;89.17;
1;276;13.500;4.000;-3.600;;0.01;0.00;7.62;0.00;-0.01;-83.01;
1;277;14.000;4.000;-3.600;;0.00;0.00;35.87;0.00;-0.01;-61.97;
1;278;14.500;4.000;-3.600;;0.00;-0.02;86.62;0.01;0.00;-6.41;
1;279;15.000;4.000;-3.600;;0.00;-0.05;-74.58;0.04;0.00;14.54;
Extremes;16;7.500;0.000;-3.600;ε_1,+;0.02;0.00;0.82;0.00;-0.02;-89.25;
1;19;9.000;0.000;-3.600;ε_1,+;0.00;-0.01;69.84;0.01;0.00;-22.05;
1;138;6.500;2.000;-3.600;ε_2,+;0.01;0.01;7.61;-0.01;-0.01;-86.14;
1;1;0.000;0.000;-3.600;ε_2,+;0.00;-0.05;-73.49;0.05;0.00;15.99;
1;249;0.000;4.000;-3.600;ε_1,-;0.00;-0.05;74.10;0.05;0.00;-15.23;
1;138;6.500;2.000;-3.600;ε_1,-;0.01;0.01;7.61;-0.01;-0.01;-86.14;
1;19;9.000;0.000;-3.600;ε_2,-;0.00;-0.01;69.84;0.01;0.00;-22.05;
1;16;7.500;0.000;-3.600;ε_2,-;0.02;0.00;0.82;0.00;-0.02;-89.25;
Total;;;;;;0.02;0.01;89.86;0.05;0.00;89.91;
1;;;;;;0.00;-0.05;-89.76;-0.01;-0.02;-90.00;
;;;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;;;
1;16;7.500;0.000;-3.600;ε_1,+;0.02;0.00;0.82;0.00;-0.02;-89.25;
1;19;9.000;0.000;-3.600;ε_1,+;0.00;-0.01;69.84;0.01;0.00;-22.05;
1;138;6.500;2.000;-3.600;ε_2,+;0.01;0.01;7.61;-0.01;-0.01;-86.14;
1;1;0.000;0.000;-3.600;ε_2,+;0.00;-0.05;-73.49;0.05;0.00;15.99;
1;249;0.000;4.000;-3.600;ε_1,-;0.00;-0.05;74.10;0.05;0.00;-15.23;
1;138;6.500;2.000;-3.600;ε_1,-;0.01;0.01;7.61;-0.01;-0.01;-86.14;
