Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - von Mises [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Mises,Max;σ_eqv,Mises,+;σ_eqv,Mises,-;σ_eqv,Mises,m;Surface Comment
1;228;5.000;3.500;-3.600;;0.463;0.425;0.463;0.021;
1;229;5.500;3.500;-3.600;;0.417;0.382;0.417;0.021;
1;230;6.000;3.500;-3.600;;0.190;0.175;0.180;0.020;
1;231;6.500;3.500;-3.600;;0.282;0.237;0.282;0.024;
1;232;7.000;3.500;-3.600;;0.449;0.398;0.449;0.026;
1;233;7.500;3.500;-3.600;;0.502;0.452;0.502;0.026;
1;234;8.000;3.500;-3.600;;0.473;0.422;0.473;0.026;
1;235;8.500;3.500;-3.600;;0.341;0.295;0.341;0.024;
1;236;9.000;3.500;-3.600;;0.142;0.123;0.142;0.021;
1;237;9.500;3.500;-3.600;;0.382;0.345;0.382;0.021;
1;238;10.000;3.500;-3.600;;0.463;0.423;0.463;0.021;
1;239;10.500;3.500;-3.600;;0.457;0.413;0.457;0.023;
1;240;11.000;3.500;-3.600;;0.375;0.326;0.375;0.025;
1;241;11.500;3.500;-3.600;;0.179;0.138;0.179;0.023;
1;242;12.000;3.500;-3.600;;0.250;0.245;0.238;0.019;
1;243;12.500;3.500;-3.600;;0.341;0.328;0.341;0.018;
1;244;13.000;3.500;-3.600;;0.334;0.318;0.334;0.016;
1;245;13.500;3.500;-3.600;;0.278;0.249;0.278;0.017;
1;246;14.000;3.500;-3.600;;0.181;0.145;0.181;0.022;
1;247;14.500;3.500;-3.600;;0.252;0.252;0.249;0.023;
1;248;15.000;3.500;-3.600;;0.635;0.635;0.626;0.017;
1;249;0.000;4.000;-3.600;;1.544;1.544;1.383;0.082;
1;250;0.500;4.000;-3.600;;0.559;0.559;0.476;0.045;
1;251;1.000;4.000;-3.600;;0.132;0.119;0.132;0.022;
1;252;1.500;4.000;-3.600;;0.278;0.256;0.278;0.012;
1;253;2.000;4.000;-3.600;;0.381;0.374;0.381;0.003;
1;254;2.500;4.000;-3.600;;0.474;0.474;0.451;0.013;
1;255;3.000;4.000;-3.600;;0.734;0.734;0.625;0.057;
1;256;3.500;4.000;-3.600;;0.223;0.223;0.173;0.046;
1;257;4.000;4.000;-3.600;;0.386;0.333;0.386;0.028;
1;258;4.500;4.000;-3.600;;0.500;0.458;0.500;0.021;
1;259;5.000;4.000;-3.600;;0.536;0.503;0.536;0.017;
1;260;5.500;4.000;-3.600;;0.469;0.447;0.469;0.013;
1;261;6.000;4.000;-3.600;;0.362;0.362;0.313;0.028;
