Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;184;14.000;2.500;-3.600;;0.01;0.00;-76.90;0.00;-0.01;27.62;
1;185;14.500;2.500;-3.600;;0.01;0.01;33.86;-0.01;-0.01;68.23;
1;186;15.000;2.500;-3.600;;0.01;0.01;19.65;-0.01;-0.01;-36.57;
1;187;0.000;3.000;-3.600;;0.02;0.00;-35.24;0.00;-0.02;50.79;
1;188;0.500;3.000;-3.600;;0.02;0.00;-43.70;0.00;-0.02;52.86;
1;189;1.000;3.000;-3.600;;0.02;0.00;-51.49;0.00;-0.01;31.69;
1;190;1.500;3.000;-3.600;;0.01;-0.01;-73.07;0.01;-0.01;5.71;
1;191;2.000;3.000;-3.600;;0.01;-0.02;-83.81;0.03;-0.01;1.26;
1;192;2.500;3.000;-3.600;;0.02;-0.03;-82.28;0.04;-0.02;4.21;
1;193;3.000;3.000;-3.600;;0.02;-0.03;-74.91;0.04;-0.02;11.12;
1;194;3.500;3.000;-3.600;;0.02;-0.02;-81.18;0.02;-0.01;3.36;
1;195;4.000;3.000;-3.600;;0.01;-0.02;87.50;0.03;-0.01;-4.46;
1;196;4.500;3.000;-3.600;;0.02;-0.03;82.35;0.04;-0.02;-7.39;
1;197;5.000;3.000;-3.600;;0.02;-0.04;82.53;0.06;-0.02;-6.82;
1;198;5.500;3.000;-3.600;;0.02;-0.06;85.88;0.07;-0.02;-3.74;
1;199;6.000;3.000;-3.600;;0.02;-0.06;-88.93;0.07;-0.02;0.84;
1;200;6.500;3.000;-3.600;;0.02;-0.05;-87.98;0.06;-0.02;1.19;
1;201;7.000;3.000;-3.600;;0.02;-0.04;-89.21;0.06;-0.02;0.23;
1;202;7.500;3.000;-3.600;;0.02;-0.04;88.17;0.06;-0.02;-1.59;
1;203;8.000;3.000;-3.600;;0.02;-0.05;85.99;0.06;-0.02;-3.10;
1;204;8.500;3.000;-3.600;;0.02;-0.05;85.74;0.07;-0.02;-3.31;
1;205;9.000;3.000;-3.600;;0.02;-0.07;87.41;0.08;-0.02;-2.24;
1;206;9.500;3.000;-3.600;;0.02;-0.06;-88.78;0.07;-0.02;1.19;
1;207;10.000;3.000;-3.600;;0.02;-0.05;-86.88;0.06;-0.02;3.09;
1;208;10.500;3.000;-3.600;;0.02;-0.04;-88.09;0.05;-0.02;2.54;
1;209;11.000;3.000;-3.600;;0.02;-0.03;87.88;0.04;-0.02;-0.17;
1;210;11.500;3.000;-3.600;;0.02;-0.03;83.36;0.04;-0.02;-4.05;
1;211;12.000;3.000;-3.600;;0.02;-0.05;82.68;0.06;-0.02;-5.68;
1;212;12.500;3.000;-3.600;;0.02;-0.05;-87.72;0.06;-0.02;3.98;
1;213;13.000;3.000;-3.600;;0.02;-0.03;-80.05;0.04;-0.02;12.40;
1;214;13.500;3.000;-3.600;;0.01;-0.01;-71.80;0.02;-0.02;22.53;
1;215;14.000;3.000;-3.600;;0.01;0.00;-47.63;0.00;-0.01;41.51;
1;216;14.500;3.000;-3.600;;0.02;0.01;13.25;0.00;-0.02;76.09;
1;217;15.000;3.000;-3.600;;0.02;0.00;22.06;-0.01;-0.02;-62.73;
1;218;0.000;3.500;-3.600;;0.04;-0.01;-33.79;0.00;-0.03;61.70;
1;219;0.500;3.500;-3.600;;0.03;-0.01;-28.86;0.00;-0.02;69.62;
1;220;1.000;3.500;-3.600;;0.02;0.00;-28.74;0.00;0.00;16.55;
1;221;1.500;3.500;-3.600;;0.01;0.00;-67.39;0.01;-0.01;-3.17;
1;222;2.000;3.500;-3.600;;0.01;-0.02;-87.37;0.03;-0.01;-2.53;
1;223;2.500;3.500;-3.600;;0.01;-0.04;-85.47;0.05;-0.01;1.16;
1;224;3.000;3.500;-3.600;;0.02;-0.04;-60.27;0.05;-0.02;24.52;
1;225;3.500;3.500;-3.600;;0.01;0.00;-66.35;0.01;-0.01;3.99;
1;226;4.000;3.500;-3.600;;0.01;-0.01;84.79;0.03;-0.01;-6.81;
1;227;4.500;3.500;-3.600;;0.01;-0.03;79.39;0.04;-0.01;-9.17;
1;228;5.000;3.500;-3.600;;0.01;-0.04;81.42;0.06;-0.02;-7.72;
1;229;5.500;3.500;-3.600;;0.01;-0.06;85.27;0.08;-0.02;-4.54;
1;230;6.000;3.500;-3.600;;0.01;-0.07;-85.53;0.08;-0.01;3.22;
1;231;6.500;3.500;-3.600;;0.01;-0.05;-86.37;0.06;-0.02;1.78;
