Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - von Mises [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Mises,Max;σ_eqv,Mises,+;σ_eqv,Mises,-;σ_eqv,Mises,m;Surface Comment
1;278;14.500;4.000;-3.600;;2.062;2.062;0.791;0.666;
1;279;15.000;4.000;-3.600;;3.670;3.670;1.473;1.127;
Extremes;31;15.000;0.000;-3.600;σ_eqv,Mises,Max;3.875;3.875;1.794;1.093;
1;122;14.000;1.500;-3.600;σ_eqv,Mises,Max;0.296;0.296;0.286;0.082;
1;31;15.000;0.000;-3.600;σ_eqv,Mises,+;3.875;3.875;1.794;1.093;
1;8;3.500;0.000;-3.600;σ_eqv,Mises,+;0.558;0.068;0.558;0.278;
1;273;12.000;4.000;-3.600;σ_eqv,Mises,-;3.432;3.432;3.094;0.294;
1;251;1.000;4.000;-3.600;σ_eqv,Mises,-;0.642;0.642;0.091;0.362;
1;1;0.000;0.000;-3.600;σ_eqv,Mises,m;3.824;3.824;1.647;1.207;
1;154;14.500;2.000;-3.600;σ_eqv,Mises,m;0.312;0.312;0.307;0.007;
Total;;;;;;3.875;3.875;3.094;1.207;
1;;;;;;0.296;0.068;0.091;0.007;
;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;
1;31;15.000;0.000;-3.600;σ_eqv,Mises,Max;3.875;3.875;1.794;1.093;
1;122;14.000;1.500;-3.600;σ_eqv,Mises,Max;0.296;0.296;0.286;0.082;
1;31;15.000;0.000;-3.600;σ_eqv,Mises,+;3.875;3.875;1.794;1.093;
1;8;3.500;0.000;-3.600;σ_eqv,Mises,+;0.558;0.068;0.558;0.278;
1;273;12.000;4.000;-3.600;σ_eqv,Mises,-;3.432;3.432;3.094;0.294;
1;251;1.000;4.000;-3.600;σ_eqv,Mises,-;0.642;0.642;0.091;0.362;
1;1;0.000;0.000;-3.600;σ_eqv,Mises,m;3.824;3.824;1.647;1.207;
1;154;14.500;2.000;-3.600;σ_eqv,Mises,m;0.312;0.312;0.307;0.007;
;;;;;;;;;;
Total;;;;;;3.875;3.875;3.094;1.207;
max/min;;;;;;0.296;0.068;0.091;0.007;
