Surface No.;Grid;Grid Point Coordinates [m];;;;Stresses from Moments [N/mm^2 ];;;Stresses from Axial Forces [N/mm^2 ];;;
;Point No.;X;Y;Z;;σ_x,b;σ_y,b;τ_xy,b;σ_x,m;σ_y,m;τ_xy,m;Surface Comment
1;274;12.500;4.000;-3.600;;-2.633;0.056;-0.152;0.039;-0.019;0.025;
1;275;13.000;4.000;-3.600;;-0.962;0.052;-0.300;0.140;-0.005;0.001;
1;276;13.500;4.000;-3.600;;-0.182;-0.001;-0.195;0.230;-0.006;0.002;
1;277;14.000;4.000;-3.600;;0.430;0.038;-0.179;0.371;0.005;0.006;
1;278;14.500;4.000;-3.600;;1.411;-0.003;0.007;0.664;0.047;0.103;
1;279;15.000;4.000;-3.600;;2.313;0.141;0.709;1.110;0.320;0.311;
Extremes;1;0.000;0.000;-3.600;σ_x,b;2.631;0.001;0.310;1.188;0.350;0.337;
1;267;9.000;4.000;-3.600;σ_x,b;-3.076;-0.772;0.332;0.217;0.034;0.030;
1;130;2.500;2.000;-3.600;σ_y,b;-0.803;0.503;-0.133;0.071;0.029;-0.005;
1;25;12.000;0.000;-3.600;σ_y,b;-2.446;-0.950;-0.843;0.155;0.024;-0.095;
1;273;12.000;4.000;-3.600;τ_xy,b;-2.533;-0.818;0.837;0.174;0.025;0.094;
1;25;12.000;0.000;-3.600;τ_xy,b;-2.446;-0.950;-0.843;0.155;0.024;-0.095;
1;1;0.000;0.000;-3.600;σ_x,m;2.631;0.001;0.310;1.188;0.350;0.337;
1;63;0.000;1.000;-3.600;σ_x,m;0.585;0.253;-0.118;-0.058;-0.060;0.009;
1;1;0.000;0.000;-3.600;σ_y,m;2.631;0.001;0.310;1.188;0.350;0.337;
1;156;0.000;2.500;-3.600;σ_y,m;0.328;0.307;-0.235;-0.023;-0.097;0.008;
1;1;0.000;0.000;-3.600;τ_xy,m;2.631;0.001;0.310;1.188;0.350;0.337;
1;31;15.000;0.000;-3.600;τ_xy,m;2.591;-0.027;-0.617;1.076;0.314;-0.304;
Total;;;;;;2.631;0.503;0.837;1.188;0.350;0.337;
1;;;;;;-3.076;-0.950;-0.843;-0.058;-0.097;-0.304;
;;;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;;;
