Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Rankine [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Rankine,Max;σ_eqv,Rankine,+;σ_eqv,Rankine,-;σ_eqv,Rankine,m;Surface Comment
1;227;4.500;3.500;-3.600;;1.187;0.894;1.187;0.146;
1;228;5.000;3.500;-3.600;;1.519;1.240;1.519;0.140;
1;229;5.500;3.500;-3.600;;1.894;1.612;1.894;0.141;
1;230;6.000;3.500;-3.600;;1.827;1.543;1.827;0.147;
1;231;6.500;3.500;-3.600;;1.424;1.112;1.424;0.158;
1;232;7.000;3.500;-3.600;;1.521;1.191;1.521;0.165;
1;233;7.500;3.500;-3.600;;1.571;1.245;1.571;0.163;
1;234;8.000;3.500;-3.600;;1.595;1.270;1.595;0.163;
1;235;8.500;3.500;-3.600;;1.592;1.283;1.592;0.156;
1;236;9.000;3.500;-3.600;;1.901;1.614;1.901;0.147;
1;237;9.500;3.500;-3.600;;1.907;1.622;1.907;0.143;
1;238;10.000;3.500;-3.600;;1.630;1.347;1.630;0.142;
1;239;10.500;3.500;-3.600;;1.386;1.093;1.386;0.147;
1;240;11.000;3.500;-3.600;;1.120;0.812;1.120;0.156;
1;241;11.500;3.500;-3.600;;0.756;0.491;0.756;0.146;
1;242;12.000;3.500;-3.600;;1.533;1.354;1.533;0.128;
1;243;12.500;3.500;-3.600;;1.725;1.499;1.725;0.122;
1;244;13.000;3.500;-3.600;;1.138;0.899;1.138;0.124;
1;245;13.500;3.500;-3.600;;0.685;0.385;0.685;0.150;
1;246;14.000;3.500;-3.600;;0.357;0.357;0.296;0.191;
1;247;14.500;3.500;-3.600;;0.911;0.911;0.727;0.181;
1;248;15.000;3.500;-3.600;;1.597;1.597;1.524;0.084;
1;249;0.000;4.000;-3.600;;3.159;3.159;1.471;0.844;
1;250;0.500;4.000;-3.600;;1.524;1.524;0.591;0.472;
1;251;1.000;4.000;-3.600;;0.403;0.403;0.129;0.260;
1;252;1.500;4.000;-3.600;;0.502;0.169;0.502;0.173;
1;253;2.000;4.000;-3.600;;0.910;0.665;0.910;0.123;
1;254;2.500;4.000;-3.600;;1.769;1.638;1.769;0.069;
1;255;3.000;4.000;-3.600;;2.559;2.559;2.152;0.214;
1;256;3.500;4.000;-3.600;;0.541;0.541;0.089;0.241;
1;257;4.000;4.000;-3.600;;0.792;0.461;0.792;0.172;
1;258;4.500;4.000;-3.600;;1.163;0.880;1.163;0.144;
1;259;5.000;4.000;-3.600;;1.523;1.275;1.523;0.125;
1;260;5.500;4.000;-3.600;;2.135;1.930;2.135;0.103;
1;261;6.000;4.000;-3.600;;2.033;1.754;2.033;0.178;
1;262;6.500;4.000;-3.600;;1.323;0.919;1.323;0.202;
1;263;7.000;4.000;-3.600;;1.518;1.176;1.518;0.171;
1;264;7.500;4.000;-3.600;;1.574;1.247;1.574;0.163;
1;265;8.000;4.000;-3.600;;1.599;1.263;1.599;0.168;
1;266;8.500;4.000;-3.600;;1.554;1.171;1.554;0.192;
1;267;9.000;4.000;-3.600;;2.069;1.749;2.069;0.175;
1;268;9.500;4.000;-3.600;;2.084;1.862;2.084;0.111;
1;269;10.000;4.000;-3.600;;1.639;1.381;1.639;0.129;
1;270;10.500;4.000;-3.600;;1.384;1.095;1.384;0.145;
1;271;11.000;4.000;-3.600;;1.106;0.764;1.106;0.172;
1;272;11.500;4.000;-3.600;;0.534;0.050;0.534;0.242;
1;273;12.000;4.000;-3.600;;2.648;2.648;2.147;0.263;
1;274;12.500;4.000;-3.600;;2.152;2.121;2.152;0.027;
1;275;13.000;4.000;-3.600;;1.136;0.952;1.136;0.095;
1;276;13.500;4.000;-3.600;;0.600;0.321;0.600;0.164;
1;277;14.000;4.000;-3.600;;0.511;0.511;0.224;0.269;
1;278;14.500;4.000;-3.600;;1.799;1.799;0.839;0.497;
1;279;15.000;4.000;-3.600;;3.864;3.864;2.078;0.896;
Extremes;1;0.000;0.000;-3.600;σ_eqv,Rankine,Max;4.075;4.075;2.219;0.947;
1;153;14.000;2.000;-3.600;σ_eqv,Rankine,Max;0.109;0.043;0.109;0.036;
1;1;0.000;0.000;-3.600;σ_eqv,Rankine,+;4.075;4.075;2.219;0.947;
1;153;14.000;2.000;-3.600;σ_eqv,Rankine,+;0.109;0.043;0.109;0.036;
1;7;3.000;0.000;-3.600;σ_eqv,Rankine,-;2.845;2.845;2.335;0.262;
1;220;1.000;3.500;-3.600;σ_eqv,Rankine,-;0.287;0.287;0.080;0.181;
1;1;0.000;0.000;-3.600;σ_eqv,Rankine,m;4.075;4.075;2.219;0.947;
1;154;14.500;2.000;-3.600;σ_eqv,Rankine,m;0.186;0.186;0.184;0.005;
Total;;;;;;4.075;4.075;2.335;0.947;
1;;;;;;0.109;0.043;0.080;0.005;
;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;
1;1;0.000;0.000;-3.600;σ_eqv,Rankine,Max;4.075;4.075;2.219;0.947;
1;153;14.000;2.000;-3.600;σ_eqv,Rankine,Max;0.109;0.043;0.109;0.036;
1;1;0.000;0.000;-3.600;σ_eqv,Rankine,+;4.075;4.075;2.219;0.947;
1;153;14.000;2.000;-3.600;σ_eqv,Rankine,+;0.109;0.043;0.109;0.036;
1;7;3.000;0.000;-3.600;σ_eqv,Rankine,-;2.845;2.845;2.335;0.262;
1;220;1.000;3.500;-3.600;σ_eqv,Rankine,-;0.287;0.287;0.080;0.181;
1;1;0.000;0.000;-3.600;σ_eqv,Rankine,m;4.075;4.075;2.219;0.947;
1;154;14.500;2.000;-3.600;σ_eqv,Rankine,m;0.186;0.186;0.184;0.005;
;;;;;;;;;;
Total;;;;;;4.075;4.075;2.335;0.947;
max/min;;;;;;0.109;0.043;0.080;0.005;
