Point No.;Location [m];;;Mass - Translational Direction [kg];;;Mass - Rotational Direction [kgm^2 ];;;
;X;Y;Z;m_X;m_Y;m_Z;m_φX;m_φY;m_φZ;
216;12.000;1.500;-3.600;687.5;687.5;687.5;0.00;0.00;0.00;
217;12.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
218;11.500;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
219;12.000;2.500;-3.600;812.5;812.5;812.5;0.00;0.00;0.00;
220;4.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
221;4.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
222;7.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
223;7.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
224;10.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
225;10.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
226;13.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
227;13.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
228;0.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
229;0.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
230;0.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
231;0.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
232;1.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
233;2.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
234;3.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
235;4.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
236;5.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
237;6.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
238;7.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
239;8.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
240;9.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
241;10.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
242;11.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
243;12.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
244;13.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
245;14.500;3.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
246;14.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
247;14.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
248;14.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
249;13.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
250;12.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
251;11.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
252;10.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
253;9.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
254;8.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
255;7.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
256;6.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
257;5.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
258;4.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
259;3.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
260;2.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
261;1.500;0.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
262;1.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
263;2.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
264;2.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
265;3.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
266;3.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
267;6.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
268;5.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
269;6.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
270;5.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
271;9.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
272;8.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
273;9.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
274;8.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
275;12.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
276;11.500;1.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
277;12.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
278;11.500;2.500;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
279;0.000;1.000;-3.600;625.0;625.0;625.0;0.00;0.00;0.00;
280;0.000;2.000;-3.600;750.0;750.0;750.0;0.00;0.00;0.00;
281;0.000;3.000;-3.600;875.0;875.0;875.0;0.00;0.00;0.00;
282;1.000;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
283;2.000;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
284;4.000;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
285;5.000;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
286;7.000;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
287;8.000;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
288;10.000;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
289;11.000;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
290;13.000;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
291;14.000;4.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
292;15.000;3.000;-3.600;875.0;875.0;875.0;0.00;0.00;0.00;
293;15.000;2.000;-3.600;750.0;750.0;750.0;0.00;0.00;0.00;
294;15.000;1.000;-3.600;625.0;625.0;625.0;0.00;0.00;0.00;
295;14.000;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
296;13.000;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
297;11.000;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
298;10.000;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
299;8.000;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
300;7.000;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
301;5.000;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
302;4.000;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
Σ;;;;261300.0;261300.0;261300.0;0.00;0.00;0.00;
