Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;161;2.500;2.500;-3.600;;0.489;-0.789;-83.10;1.025;-0.459;4.42;0.126;0.007;-9.31;0.059;
1;162;3.000;2.500;-3.600;;0.472;-0.747;-81.71;0.983;-0.402;5.79;0.127;0.026;-10.05;0.063;
1;163;3.500;2.500;-3.600;;0.437;-0.568;-86.22;0.844;-0.366;1.68;0.141;0.032;-8.09;0.029;
1;164;4.000;2.500;-3.600;;0.389;-0.651;88.75;0.959;-0.339;-2.27;0.155;0.024;-6.34;0.040;
1;165;4.500;2.500;-3.600;;0.386;-0.883;85.55;1.216;-0.357;-4.36;0.167;0.015;-4.01;0.057;
1;166;5.000;2.500;-3.600;;0.403;-1.206;85.56;1.556;-0.385;-4.08;0.175;0.009;-2.31;0.066;
1;167;5.500;2.500;-3.600;;0.416;-1.507;87.25;1.865;-0.397;-2.46;0.180;0.010;-0.80;0.063;
1;168;6.000;2.500;-3.600;;0.408;-1.615;89.58;1.977;-0.373;-0.42;0.181;0.017;-0.36;0.056;
1;169;6.500;2.500;-3.600;;0.401;-1.446;-89.94;1.813;-0.364;-0.15;0.184;0.019;-1.28;0.020;
1;170;7.000;2.500;-3.600;;0.364;-1.341;89.62;1.714;-0.332;-0.53;0.187;0.016;-1.25;0.011;
1;171;7.500;2.500;-3.600;;0.350;-1.315;88.44;1.691;-0.322;-1.39;0.188;0.014;-0.57;0.008;
1;172;8.000;2.500;-3.600;;0.363;-1.402;87.53;1.776;-0.332;-2.05;0.187;0.015;0.12;0.023;
1;173;8.500;2.500;-3.600;;0.394;-1.556;87.62;1.925;-0.358;-1.98;0.185;0.017;0.32;0.031;
1;174;9.000;2.500;-3.600;;0.393;-1.744;88.50;2.110;-0.359;-1.33;0.183;0.017;-0.24;0.060;
1;175;9.500;2.500;-3.600;;0.397;-1.644;-89.84;2.007;-0.378;0.17;0.182;0.010;0.21;0.055;
1;176;10.000;2.500;-3.600;;0.382;-1.389;-88.97;1.744;-0.364;1.09;0.178;0.009;1.41;0.055;
1;177;10.500;2.500;-3.600;;0.373;-1.135;-89.49;1.476;-0.345;0.87;0.171;0.014;2.57;0.044;
1;178;11.000;2.500;-3.600;;0.391;-0.987;88.63;1.308;-0.345;-0.51;0.161;0.022;3.76;0.024;
1;179;11.500;2.500;-3.600;;0.445;-0.974;87.03;1.273;-0.389;-1.99;0.151;0.027;3.61;0.007;
1;180;12.000;2.500;-3.600;;0.461;-1.170;86.73;1.454;-0.416;-2.39;0.144;0.021;3.52;0.056;
1;181;12.500;2.500;-3.600;;0.458;-1.116;-89.26;1.372;-0.426;1.77;0.130;0.014;8.87;0.085;
1;182;13.000;2.500;-3.600;;0.443;-0.721;-85.61;0.938;-0.399;6.34;0.113;0.017;18.51;0.094;
1;183;13.500;2.500;-3.600;;0.413;-0.251;-81.79;0.415;-0.349;12.85;0.095;0.019;35.24;0.089;
1;184;14.000;2.500;-3.600;;0.382;0.143;-76.90;-0.026;-0.328;27.62;0.080;0.006;53.43;0.066;
1;185;14.500;2.500;-3.600;;0.367;0.341;33.86;-0.302;-0.362;68.23;0.029;-0.008;58.65;0.043;
1;186;15.000;2.500;-3.600;;0.379;0.258;19.65;-0.383;-0.496;-36.57;-0.028;-0.093;-6.96;0.029;
1;187;0.000;3.000;-3.600;;0.623;0.020;-35.24;-0.157;-0.742;50.79;-0.043;-0.085;1.22;0.096;
1;188;0.500;3.000;-3.600;;0.674;0.030;-43.70;-0.030;-0.486;52.86;0.103;-0.009;-57.42;0.057;
1;189;1.000;3.000;-3.600;;0.468;0.007;-51.49;0.038;-0.231;31.69;0.123;0.018;-42.73;0.066;
1;190;1.500;3.000;-3.600;;0.311;-0.170;-73.07;0.377;-0.215;5.71;0.135;0.017;-19.95;0.078;
