Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;202;7.500;3.000;-3.600;;0.000;10.538;-60.846;61.199;0.000;-10.890;100.158;5.848;-2.029;
1;203;8.000;3.000;-3.600;;0.000;10.692;-65.104;66.841;0.000;-12.430;99.242;6.928;-2.957;
1;204;8.500;3.000;-3.600;;0.000;11.371;-73.599;75.976;0.000;-13.747;98.234;11.930;-5.671;
1;205;9.000;3.000;-3.600;;0.000;9.703;-88.014;89.775;0.000;-11.463;94.795;10.434;-2.577;
1;206;9.500;3.000;-3.600;;0.000;10.168;-81.157;81.476;0.000;-10.487;94.818;4.076;-3.177;
1;207;10.000;3.000;-3.600;;0.000;10.848;-66.355;67.734;0.000;-12.227;96.669;7.141;-9.339;
1;208;10.500;3.000;-3.600;;0.000;11.263;-52.727;53.177;0.000;-11.713;97.171;12.288;-15.087;
1;209;11.000;3.000;-3.600;;0.000;11.878;-44.155;44.219;0.000;-11.942;94.578;18.566;-19.790;
1;210;11.500;3.000;-3.600;;0.000;14.652;-43.583;44.915;0.000;-15.984;89.295;26.312;-20.173;
1;211;12.000;3.000;-3.600;;0.000;13.293;-64.008;69.062;0.958;-19.305;81.927;16.124;-11.899;
1;212;12.500;3.000;-3.600;;0.000;10.938;-62.750;64.062;0.000;-12.250;89.719;17.363;-34.257;
1;213;13.000;3.000;-3.600;;0.000;14.024;-40.799;47.400;0.000;-20.625;92.622;34.637;-53.448;
1;214;13.500;3.000;-3.600;;0.000;20.198;-20.954;21.551;0.000;-20.795;90.284;51.607;-70.698;
1;215;14.000;3.000;-3.600;;16.376;17.924;-13.516;-5.527;0.000;-15.256;74.277;63.351;-79.101;
1;216;14.500;3.000;-3.600;;23.433;13.718;-0.889;0.000;-13.266;-22.997;41.824;59.303;-60.056;
1;217;15.000;3.000;-3.600;;32.210;22.434;-11.268;0.000;-15.605;-27.770;-20.487;0.000;-39.202;
1;218;0.000;3.500;-3.600;;49.553;31.837;-35.000;0.000;-4.782;-41.607;44.640;41.875;-101.780;
1;219;0.500;3.500;-3.600;;36.766;18.985;-23.077;0.000;-2.169;-30.505;137.213;92.730;-131.379;
1;220;1.000;3.500;-3.600;;14.632;10.441;-9.822;0.000;-3.049;-12.202;150.961;65.538;-94.959;
1;221;1.500;3.500;-3.600;;0.000;5.776;-7.730;7.769;0.000;-5.815;120.969;33.394;-49.872;
1;222;2.000;3.500;-3.600;;0.000;5.064;-28.160;28.175;0.000;-5.078;106.088;19.239;-35.860;
1;223;2.500;3.500;-3.600;;0.000;1.653;-56.859;59.418;1.162;-5.374;104.212;14.161;-32.578;
1;224;3.000;3.500;-3.600;;11.456;13.773;-66.421;63.540;21.494;-43.842;104.929;38.054;-32.905;
1;225;3.500;3.500;-3.600;;0.000;11.026;-8.860;8.484;0.000;-10.651;116.539;32.387;-42.633;
1;226;4.000;3.500;-3.600;;0.000;7.537;-22.781;23.800;0.000;-8.556;115.913;20.554;-30.655;
1;227;4.500;3.500;-3.600;;0.000;8.033;-40.154;46.473;1.583;-15.936;103.692;11.253;-18.040;
1;228;5.000;3.500;-3.600;;0.000;7.133;-60.120;67.973;3.695;-18.681;98.001;7.693;-13.920;
1;229;5.500;3.500;-3.600;;0.000;2.836;-86.741;93.335;4.959;-14.389;98.098;5.438;-11.546;
