Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;183;13.500;2.500;-3.600;;11.994;9.792;70.66;1.101;6.907;-154.31;-0.216;-4.669;-62.64;2.226;
1;184;14.000;2.500;-3.600;;12.003;5.095;81.32;3.454;9.691;-148.42;-0.131;-3.728;-44.42;1.798;
1;185;14.500;2.500;-3.600;;11.681;0.097;88.87;5.792;10.812;-139.52;0.265;-2.011;-33.54;1.138;
1;186;15.000;2.500;-3.600;;10.469;-3.472;-84.35;6.970;12.345;-125.52;2.240;1.091;-87.01;0.574;
1;187;0.000;3.000;-3.600;;6.952;-10.875;76.17;8.914;20.106;-76.74;2.097;0.640;44.23;0.729;
1;188;0.500;3.000;-3.600;;7.207;-5.136;88.80;6.171;19.643;-59.76;0.932;-4.981;35.59;2.957;
1;189;1.000;3.000;-3.600;;7.691;1.923;-74.40;2.884;13.910;-30.22;0.478;-5.627;48.62;3.052;
1;190;1.500;3.000;-3.600;;9.535;6.762;-24.99;1.386;9.127;-13.18;0.408;-6.012;63.48;3.210;
1;191;2.000;3.000;-3.600;;12.640;7.571;2.32;2.535;4.627;-27.55;1.321;-6.742;73.24;4.032;
1;192;2.500;3.000;-3.600;;12.984;8.478;17.24;2.253;1.988;-96.64;1.771;-7.307;78.80;4.539;
1;193;3.000;3.000;-3.600;;9.792;5.651;64.77;2.071;20.814;-90.03;-1.726;-7.313;80.30;2.794;
1;194;3.500;3.000;-3.600;;9.303;6.764;-74.74;1.270;17.028;-60.44;-2.342;-8.791;66.36;3.224;
1;195;4.000;3.000;-3.600;;13.740;8.404;-21.46;2.668;11.892;-39.95;-1.114;-9.618;72.98;4.252;
1;196;4.500;3.000;-3.600;;17.609;9.193;-4.36;4.208;7.306;-45.05;-0.662;-10.318;78.60;4.828;
1;197;5.000;3.000;-3.600;;18.846;9.454;6.01;4.696;5.042;-89.02;-0.421;-10.609;83.09;5.094;
1;198;5.500;3.000;-3.600;;17.375;9.816;13.94;3.779;7.307;-115.86;-0.600;-10.756;87.28;5.078;
1;199;6.000;3.000;-3.600;;12.579;9.832;25.59;1.374;20.108;-91.53;-2.258;-10.799;88.96;4.271;
1;200;6.500;3.000;-3.600;;14.334;9.857;-11.77;2.238;13.486;-64.77;-2.159;-11.332;84.38;4.587;
1;201;7.000;3.000;-3.600;;18.539;9.485;-7.87;4.527;8.614;-54.09;-1.272;-11.850;86.89;5.289;
