Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;90;13.500;1.000;-3.600;max;0.027;0.003;-0.001;0.027;0.003;-0.001;0.032;0.016;-0.001;
1;90;13.500;1.000;-3.600;min;0.000;-0.002;-0.025;0.000;-0.002;-0.025;0.000;-0.010;-0.027;
1;91;14.000;1.000;-3.600;max;0.028;0.005;-0.001;0.028;0.005;-0.001;0.026;0.020;-0.004;
1;91;14.000;1.000;-3.600;min;0.000;-0.002;-0.025;0.000;-0.002;-0.025;0.000;-0.010;-0.023;
1;92;14.500;1.000;-3.600;max;0.030;0.009;-0.004;0.030;0.009;-0.004;0.013;0.020;-0.002;
1;92;14.500;1.000;-3.600;min;0.000;0.000;-0.025;0.000;0.000;-0.025;-0.006;0.000;-0.018;
1;93;15.000;1.000;-3.600;max;0.026;0.013;-0.014;0.026;0.013;-0.014;0.016;0.024;-0.004;
1;93;15.000;1.000;-3.600;min;0.000;0.001;-0.022;0.000;0.001;-0.022;-0.006;0.000;-0.020;
1;94;0.000;1.500;-3.600;max;0.015;0.015;-0.015;0.015;0.015;-0.015;0.026;0.033;-0.029;
1;94;0.000;1.500;-3.600;min;0.005;0.006;-0.025;0.005;0.006;-0.025;0.010;0.004;-0.041;
1;95;0.500;1.500;-3.600;max;0.015;0.017;-0.013;0.015;0.017;-0.013;0.028;0.038;-0.029;
1;95;0.500;1.500;-3.600;min;0.003;0.004;-0.026;0.003;0.004;-0.026;0.013;0.007;-0.049;
1;96;1.000;1.500;-3.600;max;0.010;0.014;-0.004;0.010;0.014;-0.004;0.018;0.049;-0.012;
1;96;1.000;1.500;-3.600;min;0.000;0.000;-0.019;0.000;0.000;-0.019;0.004;0.000;-0.043;
1;98;2.000;1.500;-3.600;max;0.013;0.014;-0.001;0.013;0.014;-0.001;0.024;0.018;-0.002;
1;98;2.000;1.500;-3.600;min;0.000;0.000;-0.018;0.000;0.000;-0.018;-0.002;0.000;-0.035;
1;99;2.500;1.500;-3.600;max;0.022;0.009;-0.004;0.022;0.009;-0.004;0.035;0.028;-0.015;
1;99;2.500;1.500;-3.600;min;0.000;-0.001;-0.019;0.000;-0.001;-0.019;0.007;0.006;-0.055;
1;100;3.000;1.500;-3.600;max;0.027;0.005;-0.002;0.027;0.005;-0.002;0.043;0.025;-0.013;
1;100;3.000;1.500;-3.600;min;0.000;-0.001;-0.025;0.000;-0.001;-0.025;0.000;0.003;-0.049;
1;101;3.500;1.500;-3.600;max;0.029;0.004;0.000;0.029;0.004;0.000;0.030;0.018;-0.001;
1;101;3.500;1.500;-3.600;min;0.000;-0.001;-0.027;0.000;-0.001;-0.027;0.000;-0.003;-0.029;
1;102;4.000;1.500;-3.600;max;0.030;0.004;-0.001;0.030;0.004;-0.001;0.028;0.017;-0.002;
1;102;4.000;1.500;-3.600;min;0.000;-0.001;-0.028;0.000;-0.001;-0.028;0.000;-0.005;-0.023;
1;103;4.500;1.500;-3.600;max;0.032;0.004;-0.001;0.032;0.004;-0.001;0.027;0.013;-0.003;
1;103;4.500;1.500;-3.600;min;0.000;-0.001;-0.029;0.000;-0.001;-0.029;-0.006;-0.008;-0.023;
1;104;5.000;1.500;-3.600;max;0.031;0.005;-0.001;0.031;0.005;-0.001;0.027;0.012;-0.002;
1;104;5.000;1.500;-3.600;min;0.000;-0.002;-0.028;0.000;-0.002;-0.028;-0.007;-0.009;-0.024;
1;105;5.500;1.500;-3.600;max;0.029;0.007;-0.005;0.029;0.007;-0.005;0.028;0.010;0.000;
1;105;5.500;1.500;-3.600;min;0.000;-0.001;-0.026;0.000;-0.001;-0.026;0.000;-0.006;-0.024;
1;106;6.000;1.500;-3.600;max;0.024;0.010;-0.003;0.024;0.010;-0.003;0.029;0.010;-0.005;
1;106;6.000;1.500;-3.600;min;0.000;-0.002;-0.022;0.000;-0.002;-0.022;0.000;-0.001;-0.024;
1;107;6.500;1.500;-3.600;max;0.025;0.008;-0.001;0.025;0.008;-0.001;0.027;0.015;-0.002;
1;107;6.500;1.500;-3.600;min;0.000;-0.002;-0.022;0.000;-0.002;-0.022;0.000;-0.003;-0.023;
1;108;7.000;1.500;-3.600;max;0.027;0.005;-0.003;0.027;0.005;-0.003;0.025;0.015;-0.001;
1;108;7.000;1.500;-3.600;min;0.000;-0.001;-0.024;0.000;-0.001;-0.024;0.000;-0.006;-0.022;
1;109;7.500;1.500;-3.600;max;0.028;0.004;-0.002;0.028;0.004;-0.002;0.023;0.011;0.000;
1;109;7.500;1.500;-3.600;min;0.000;-0.001;-0.026;0.000;-0.001;-0.026;0.000;-0.006;-0.021;
1;110;8.000;1.500;-3.600;max;0.029;0.003;0.000;0.029;0.003;0.000;0.021;0.009;0.000;
1;110;8.000;1.500;-3.600;min;0.000;-0.001;-0.028;0.000;-0.001;-0.028;0.000;-0.007;-0.021;
1;111;8.500;1.500;-3.600;max;0.030;0.005;-0.002;0.030;0.005;-0.002;0.022;0.009;0.000;
1;111;8.500;1.500;-3.600;min;0.000;-0.002;-0.029;0.000;-0.002;-0.029;0.000;-0.006;-0.022;
1;112;9.000;1.500;-3.600;max;0.030;0.007;-0.001;0.030;0.007;-0.001;0.024;0.005;-0.002;
1;112;9.000;1.500;-3.600;min;0.000;-0.002;-0.029;0.000;-0.002;-0.029;0.000;-0.004;-0.022;
1;113;9.500;1.500;-3.600;max;0.030;0.005;0.000;0.030;0.005;0.000;0.022;0.009;0.000;
