Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;91;14.000;1.000;-3.600;min;-0.001;-0.025;-70.08;0.001;0.003;-165.57;-0.009;-0.024;-39.99;0.003;
1;92;14.500;1.000;-3.600;max;0.025;0.000;79.13;0.013;0.016;71.56;0.017;0.005;35.85;0.009;
1;92;14.500;1.000;-3.600;min;0.000;-0.025;-20.82;0.006;0.009;-118.14;-0.005;-0.017;-78.44;0.002;
1;93;15.000;1.000;-3.600;max;0.022;-0.001;65.00;0.011;0.020;145.73;0.021;0.005;31.77;0.009;
1;93;15.000;1.000;-3.600;min;0.001;-0.022;-33.40;0.007;0.008;-55.46;-0.005;-0.021;-62.92;0.003;
1;94;0.000;1.500;-3.600;max;0.015;-0.005;45.38;0.012;0.006;58.71;0.030;-0.007;41.37;0.021;
1;94;0.000;1.500;-3.600;min;0.005;-0.015;-47.21;0.007;0.004;-134.40;0.007;-0.030;-50.94;0.014;
1;95;0.500;1.500;-3.600;max;0.016;-0.004;47.44;0.013;0.012;122.73;0.031;-0.012;55.35;0.026;
1;95;0.500;1.500;-3.600;min;0.004;-0.016;-46.46;0.007;0.005;-82.39;0.012;-0.031;-36.09;0.015;
1;96;1.000;1.500;-3.600;max;0.012;0.000;51.66;0.009;0.046;82.39;0.038;-0.003;64.62;0.025;
1;96;1.000;1.500;-3.600;min;0.000;-0.012;-44.78;0.002;0.015;-121.83;0.003;-0.038;-26.17;0.008;
1;98;2.000;1.500;-3.600;max;0.014;0.000;77.43;0.009;0.032;39.43;0.021;0.002;74.99;0.018;
1;98;2.000;1.500;-3.600;min;0.000;-0.014;-44.63;0.001;0.004;-179.72;-0.002;-0.021;-40.48;0.002;
1;99;2.500;1.500;-3.600;max;0.019;0.001;23.90;0.009;0.022;152.57;0.032;-0.007;49.10;0.028;
1;99;2.500;1.500;-3.600;min;-0.001;-0.019;-75.44;0.004;0.008;-52.01;0.007;-0.032;-50.25;0.008;
1;100;3.000;1.500;-3.600;max;0.025;0.001;50.69;0.012;0.010;66.60;0.036;-0.002;38.67;0.026;
1;100;3.000;1.500;-3.600;min;-0.001;-0.025;-85.33;0.006;0.004;-167.94;0.002;-0.036;-67.60;0.008;
1;101;3.500;1.500;-3.600;max;0.027;0.001;12.27;0.013;0.003;49.71;0.025;0.003;36.07;0.015;
1;101;3.500;1.500;-3.600;min;-0.001;-0.027;-89.38;0.004;0.002;-177.61;-0.003;-0.025;-87.58;0.003;
1;102;4.000;1.500;-3.600;max;0.028;0.001;88.84;0.014;0.004;168.17;0.024;0.004;81.23;0.012;
1;102;4.000;1.500;-3.600;min;-0.001;-0.028;-87.42;0.001;0.002;-174.41;-0.004;-0.024;-86.14;0.004;
1;103;4.500;1.500;-3.600;max;0.029;0.001;85.61;0.015;0.006;159.09;0.024;0.007;73.34;0.010;
1;103;4.500;1.500;-3.600;min;-0.001;-0.029;-86.97;0.001;0.001;-111.60;-0.007;-0.024;-85.67;0.002;
1;104;5.000;1.500;-3.600;max;0.028;0.002;87.80;0.014;0.009;158.51;0.024;0.008;81.99;0.012;
1;104;5.000;1.500;-3.600;min;-0.002;-0.028;-83.10;0.003;0.002;-149.51;-0.008;-0.024;-79.53;0.001;
1;105;5.500;1.500;-3.600;max;0.026;0.001;81.31;0.013;0.010;158.18;0.024;0.006;89.45;0.012;
1;105;5.500;1.500;-3.600;min;-0.001;-0.026;-84.39;0.004;0.003;-178.78;-0.006;-0.024;-84.33;0.003;
1;106;6.000;1.500;-3.600;max;0.022;0.002;84.86;0.010;0.012;176.49;0.024;0.001;48.13;0.012;
